Char: 6, Count: 3132
Char: 8, Count: 2530
Char: 9, Count: 249
Char: 5, Count: 908
Char: 4, Count: 790
Char: 7, Count: 2182
Char: 10, Count: 106
Char: 1, Count: 10
Char: 11, Count: 41
Char: 14, Count: 2
Char: 12, Count: 30
Char: 3, Count: 13
Char: 15, Count: 1
Char: 13, Count: 2
Char: 21, Count: 1
Char: 16, Count: 2
Char: 2, Count: 1
